Rank,Player_ID,Player_Name,Format,Batting_Points,Bowling_Points,Fielding_Points,Total_Score
194.0,40773,ID_40773,ODI,0.0,0.0,0.0,0.0
194.0,40773,ID_40773,Test,0.0,0.0,0.0,0.0
194.0,33274,ID_33274,T20,0.0,0.0,0.0,0.0
194.0,33274,ID_33274,ODI,0.0,0.0,0.0,0.0
194.0,33274,ID_33274,Test,0.0,0.0,0.0,0.0
194.0,22226,ID_22226,Test,0.0,0.0,0.0,0.0
194.0,9177,ID_9177,WPL,0.0,0.0,0.0,0.0
194.0,9177,ID_9177,Test,0.0,0.0,0.0,0.0
194.0,9165,ID_9165,Test,0.0,0.0,0.0,0.0
194.0,9163,ID_9163,WPL,0.0,0.0,0.0,0.0
194.0,14486,ID_14486,Test,0.0,0.0,0.0,0.0
194.0,13950,ID_13950,ODI,0.0,0.0,0.0,0.0
194.0,13950,ID_13950,Test,0.0,0.0,0.0,0.0
194.0,13658,ID_13658,Test,0.0,0.0,0.0,0.0
194.0,13533,ID_13533,Test,0.0,0.0,0.0,0.0
194.0,12773,ID_12773,WPL,0.0,0.0,0.0,0.0
194.0,12773,ID_12773,Test,0.0,0.0,0.0,0.0
194.0,12555,ID_12555,IPL,0.0,0.0,0.0,0.0
194.0,11855,ID_11855,Test,0.0,0.0,0.0,0.0
194.0,11405,ID_11405,Test,0.0,0.0,0.0,0.0
194.0,11389,ID_11389,WPL,0.0,0.0,0.0,0.0
194.0,11389,ID_11389,Test,0.0,0.0,0.0,0.0
194.0,11382,ID_11382,WPL,0.0,0.0,0.0,0.0
194.0,11382,ID_11382,Test,0.0,0.0,0.0,0.0
194.0,11362,ID_11362,WPL,0.0,0.0,0.0,0.0
194.0,11362,ID_11362,Test,0.0,0.0,0.0,0.0
194.0,9651,ID_9651,Test,0.0,0.0,0.0,0.0
194.0,9198,ID_9198,WPL,0.0,0.0,0.0,0.0
194.0,9185,ID_9185,WPL,0.0,0.0,0.0,0.0
194.0,11256,ID_11256,Test,0.0,0.0,0.0,0.0
194.0,9993,ID_9993,Test,0.0,0.0,0.0,0.0
194.0,10008,ID_10008,WPL,0.0,0.0,0.0,0.0
194.0,10008,ID_10008,Test,0.0,0.0,0.0,0.0
194.0,10007,ID_10007,WPL,0.0,0.0,0.0,0.0
194.0,10007,ID_10007,Test,0.0,0.0,0.0,0.0
