Series ID,Series Name,Start Date
7411,Zimbabwe tour of Sri Lanka 2024,2024-01-06
9201,"Bangladesh Premier League, 2024-25",2024-12-30
8979,Super Smash 2024-25,2024-12-26
8535,Big Bash League 2024-25,2024-12-15
9225,"Lanka T10 Super League, 2024",2024-12-11
9196,"Global Super League, 2024",2024-11-26
9188,Abu Dhabi T10 League 2024,2024-11-21
8643,CSA T20 Challenge 2024,2024-09-27
8746,CSA T20 Knock Out Competition 2024,2024-09-21
8897,Zim Afro T10 2024,2024-09-21
8913,Legends League Cricket 2024,2024-09-20
7855,Caribbean Premier League 2024,2024-08-28
8652,Maharaja Trophy KSCA T20 2024,2024-08-15
8518,Global T20 Canada 2024,2024-07-25
7525,The Hundred Mens Competition 2024,2024-07-23
7862,Tamil Nadu Premier League 2024,2024-07-05
8098,Major League Cricket 2024,2024-07-05
8481,World Championship of Legends 2024,2024-07-03
7873,"Lanka Premier League, 2024",2024-07-01
7336,T20 Blast 2024,2024-05-30
7871,Asian Legends League 2024 (Postponed),2024-05-27
7607,Indian Premier League 2024,2024-03-22
7630,"Asian Legends League, 2024 (Postponed)",2024-03-16
7651,"Legends Cricket Trophy, 2024",2024-03-08
7663,CSA T20 Challenge 2024,2024-03-08
7658,CSA Provincial T20 Cup 2024,2024-03-06
7492,"Pakistan Super League, 2024",2024-02-17
7422,Bangladesh Premier League 2024,2024-01-19
7257,"International League T20, 2024",2024-01-19
7044,"SA20, 2024",2024-01-10
8357,Vijay Hazare Trophy 2024-25,2024-12-21
9221,"ACC U19 Asia Cup, 2024",2024-11-29
8364,Syed Mushtaq Ali Trophy 2024,2024-11-23
9150,"Sri Lanka A tour of Pakistan, 2024",2024-11-11
8939,Plunket Shield 2024-25,2024-11-11
9001,"ICC CWC Challenge League B, 2024-26",2024-11-06
8276,"India A tour of Australia, 2024",2024-10-31
8714,CSA Four-Day Series Division Two 2024-25,2024-10-31
8730,CSA Four-Day Series Division One 2024-25,2024-10-30
8931,The Ford Trophy 2024-25,2024-10-20
8945,ACC Mens T20 Emerging Teams Asia Cup 2024,2024-10-18
8339,Ranji Trophy Elite 2024-25,2024-10-11
8348,Ranji Trophy Plate 2024-25,2024-10-11
9049,South American Mens Championships 2024,2024-10-10
8605,Sheffield Shield 2024-25,2024-10-08
8373,Irani Cup 2024,2024-10-01
8993,"ICC CWC Challenge League A, 2024-26",2024-09-25
8616,Australia Domestic One-Day Cup 2024-25,2024-09-22
8865,"Australia Under 19 tour of India, 2024",2024-09-21
8700,Duleep Trophy 2024,2024-09-05
8820,"Sri Lanka A tour of South Africa,2024",2024-08-31
8827,"Bangladesh A tour of Pakistan, 2024",2024-08-13
7343,England Domestic One-Day Cup 2024,2024-07-24
7593,"Sri Lanka Under 19 tour of England, 2024",2024-06-28
8204,ICC Mens T20 World Cup Warm-up Matches 2024,2024-05-27
7352,County Championship Division One 2024,2024-04-05
7366,County Championship Division Two 2024,2024-04-05
7604,ICC Cricket World Cup Challenge League Play-off 2024,2024-02-22
7175,ICC Under 19 World Cup 2024,2024-01-19
7429,ICC Under 19 World Cup Warm up Matches 2024,2024-01-13
7441,"England Lions tour of India, 2024",2024-01-12
6725,Ranji Trophy 2023-24,2024-01-05
9317,"Philippines Women tour of Singapore, 2024",2024-12-23
9309,"Myanmar Women tour of Bhutan, 2024",2024-12-21
8563,"Australia Women tour of New Zealand, 2024",2024-12-19
9301,"Jersey Women tour of Gibraltar, 2024",2024-12-15
9209,"West Indies Women tour of India, 2024",2024-12-15
9293,"Namibia Women tour of Malaysia, 2024",2024-12-10
7799,"India Women tour of Australia, 2024",2024-12-05
9281,"Womens T20I Quadrangular Series in Hong Kong, China 2024",2024-12-04
9285,Bahrain Women tour of Qatar 2024,2024-12-03
9192,"Ireland women tour of Bangladesh, 2024",2024-11-27
8060,"England Women tour of South Africa, 2024",2024-11-24
9229,Costa Rica Women tour of Mexico 2024,2024-11-16
9143,"Womens T20I Quadrangular Series in China, 2024",2024-11-07
9164,Kenya Women tour of Rwanda 2024,2024-10-29
8525,Womens Big Bash League 2024,2024-10-27
9178,"Womens T20I Mediterranean Cup, 2024",2024-10-26
9136,"Bulgaria Women tour of Greece, 2024",2024-10-26
9073,New Zealand Women tour of India 2024,2024-10-24
9099,"Singapore Womens T20I Tri-Series, 2024",2024-10-21
9075,"USA Women tour of Zimbabwe, 2024",2024-10-17
9065,"Bulgaria Women tour of Serbia, 2024",2024-10-12
8679,T20 Spring Challenge 2024,2024-10-11
9027,Womens East Asia Cup 2024,2024-10-08
8071,"ICC Womens T20 World Cup, 2024",2024-10-03
8961,"Singapore Women tour of Japan, 2024",2024-10-01
8076,"ICC Womens T20 World Cup Warm-up Matches, 2024",2024-09-28
8985,"Womens Tri-Series in Italy, 2024",2024-09-26
8977,South American Womens Championships 2024,2024-09-26
8923,Spain Women tour of Greece 2024,2024-09-20
7754,"New Zealand Women tour of Australia, 2024",2024-09-19
8857,"South Africa Women tour of Pakistan, 2024",2024-09-16
8900,Womens T20I Quadrangular Series 2024,2024-09-14
8908,"Cyprus Women tour of Serbia, 2024",2024-09-14
8889,"Rwanda Women tour of Kenya, 2024",2024-09-10
8013,England Women tour of Ireland 2024,2024-09-07
8833,"Womens Tri-Series in Namibia, 2024",2024-09-06
8770,Womens Valletta Cup 2024,2024-08-21
8220,Womens Caribbean Premier League 2024,2024-08-21
8732,Isle of Man Women tour of Malta 2024,2024-08-17
8008,Sri Lanka Women tour of Ireland 2024,2024-08-11
8670,Nordic Women T20I Cup 2024,2024-08-10
8574,"Womens Tri-Series in Netherlands, 2024",2024-08-05
8634,"Italy Women tour of Germany, 2024",2024-07-28
8607,Germany Womens T20I Tri-Series 2024,2024-07-26
7532,The Hundred Womens Competition 2024,2024-07-23
7765,"Womens Asia Cup T20, 2024",2024-07-19
8539,"Guernsey Women tour of Jersey, 2024",2024-07-14
8427,Indonesia Womens T20I Tri-Series 2024,2024-07-02
6808,"New Zealand Women tour of England, 2024",2024-06-26
8229,"Hong Kong Women tour of Netherlands, 2024",2024-06-17
8314,Estonia Women tour of Cyprus 2024,2024-06-17
8069,"South Africa Women tour of India, 2024",2024-06-16
8249,"West Indies Women tour of Sri Lanka, 2024",2024-06-15
8323,"Women Central Europe Cup, 2024",2024-06-14
8296,"Czech Republic Women tour of Austria, 2024",2024-06-08
8174,Kwibuka Womens Tournament 2024,2024-05-30
8158,"Italy Women tour of Netherlands, 2024",2024-05-28
8156,"Luxembourg Women tour of Belgium, 2024",2024-05-19
6801,"Pakistan Women tour of England, 2024",2024-05-11
8085,"Guernsey Women vs Isle of Man Women, 2024",2024-05-05
8123,Denmark Women tour of Austria 2024,2024-05-04
7835,"India Women tour of Bangladesh, 2024",2024-04-28
7720,ICC Womens T20 World Cup Qualifier 2024,2024-04-25
7943,"Kalahari Womens T20I Tournament, 2024",2024-04-22
7889,"Mongolia Women tour of Indonesia, 2024",2024-04-21
7882,"Estonia Women tour of Gibraltar, 2024",2024-04-20
7713,"West Indies women tour of Pakistan, 2024",2024-04-18
7717,"Ireland Women v Thailand Women in UAE, 2024",2024-04-16
7824,"Womens T20I Quadrangular Series, 2024",2024-04-16
7826,Womens ODI Tri-Series 2024,2024-04-11
7436,"Sri Lanka Women tour of South Africa, 2024",2024-03-27
7736,"Papua New Guinea Women tour of Zimbabwe, 2024",2024-03-24
7611,"Australia Women tour of Bangladesh, 2024",2024-03-21
6871,"England Womens tour of New Zealand, 2024",2024-03-19
7632,"Womens African Games, 2024",2024-03-07
7597,"NCF Womens T20I Invitational, 2024",2024-02-25
7518,Women's Premier League 2024,2024-02-23
7565,Asian Cricket Council Womens Premier Cup 2024,2024-02-10
7539,"Kuwait Women tour of Malaysia, 2024",2024-02-04
6311,"South Africa Women tour of Australia, 2024",2024-01-27
7497,"Ireland Women tour of Zimbabwe, 2024",2024-01-18
7504,Womens T20 Pacific Cup 2024,2024-01-17
